Auction_Identifier,Calendar_Year,Calendar_Month,Monthly_CM_Forecast_Cost_GBP
"T-3 Auction 2019","2025","10",113937.3163
"T-3 Auction 2019","2025","11",120634.0219
"T-3 Auction 2019","2025","12",125931.7467
"T-3 Auction 2019","2026","1",131508.4536
"T-3 Auction 2019","2026","2",114096.0119
"T-4 Auction 2014","2025","10",1349742.7410
"T-4 Auction 2014","2025","11",1429074.3431
"T-4 Auction 2014","2025","12",1491833.1106
"T-4 Auction 2014","2026","1",1557896.8013
"T-4 Auction 2014","2026","2",1351622.7067
"T-4 Auction 2015","2025","10",1261290.0221
"T-4 Auction 2015","2025","11",1335422.7848
"T-4 Auction 2015","2025","12",1394068.7806
"T-4 Auction 2015","2026","1",1455803.1181
"T-4 Auction 2015","2026","2",1263046.7880
"T-4 Auction 2016","2025","10",5115135.2066
"T-4 Auction 2016","2025","11",5415779.0693
"T-4 Auction 2016","2025","12",5653616.6743
"T-4 Auction 2016","2026","1",5903978.9840
"T-4 Auction 2016","2026","2",5122259.7338
"T-4 Auction 2017","2025","10",143588.8514
"T-4 Auction 2017","2025","11",152028.3364
"T-4 Auction 2017","2025","12",158704.7637
"T-4 Auction 2017","2026","1",165732.7767
"T-4 Auction 2017","2026","2",143788.8466
"T-4 Auction 2019","2025","10",2487677.9677
"T-4 Auction 2019","2025","11",2633892.1113
"T-4 Auction 2019","2025","12",2749561.2668
"T-4 Auction 2019","2026","1",2871321.6459
"T-4 Auction 2019","2026","2",2491142.8868
"T-4 Auction 2020","2025","10",2996705.2055
"T-4 Auction 2020","2025","11",3172837.6032
"T-4 Auction 2020","2025","12",3312174.9149
"T-4 Auction 2020","2026","1",3458849.8329
"T-4 Auction 2020","2026","2",3000879.1143
"T-4 Auction 2021","2025","10",134362390.4398
"T-4 Auction 2021","2025","11",142259586.9805
"T-4 Auction 2021","2025","12",148507013.0702
"T-4 Auction 2021","2026","1",155083433.2520
"T-4 Auction 2021","2026","2",134549534.7608
